complex	gene_name
BCL6-HDAC4 complex	BCL6
BCL6-HDAC4 complex	HDAC4
BCL6-HDAC5 complex	BCL6
BCL6-HDAC5 complex	HDAC5
BCL6-HDAC7 complex	BCL6
BCL6-HDAC7 complex	HDAC7
Multisubunit ACTR coactivator complex	EP300
Multisubunit ACTR coactivator complex	CREBBP
Multisubunit ACTR coactivator complex	KAT2B
Multisubunit ACTR coactivator complex	NCOA3
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	Ahr
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	Arnt
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	HPS1
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	HPS4
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	HPS6
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	HPS3
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	HPS5
MUS81-CDS1 complex	CDS1
MUS81-CDS1 complex	MUS81
NCOR complex	HDAC3
NCOR complex	TBL1X
NCOR complex	NCOR1
NCOR complex	GPS2
NCOR complex	CORO2A
NCOR complex	TBL1XR1
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	SNAPIN
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	BLOC1S1
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	BLOC1S3
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	BLOC1S2
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	BLOC1S5
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	DTNBP1
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	BLOC1S4
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	BLOC1S6
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	Aip
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	Hsp90aa1
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	Hsp90ab1
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	Ahr
Bestrophin-protein phosphatase 2A complex	PPP2R1A
Bestrophin-protein phosphatase 2A complex	PPP2CA
Bestrophin-protein phosphatase 2A complex	BEST1
Arp2/3 protein complex	ARPC1B
Arp2/3 protein complex	ARPC2
Arp2/3 protein complex	ARPC3
Arp2/3 protein complex	ARPC5
Arp2/3 protein complex	ARPC4
Arp2/3 protein complex	ACTR3
Arp2/3 protein complex	ACTR2
Modulator	PSMC6
Modulator	PSMD9
Modulator	PSMC3
PA28 complex	PSME1
PA28 complex	PSME2
PA700 complex	PSMD11
PA700 complex	PSMD12
PA700 complex	PSMD9
PA700 complex	PSMD14
PA700 complex	PSMD3
PA700 complex	PSMD10
PA700 complex	PSMC3
PA700 complex	PSMC2
PA700 complex	PSMC4
PA700 complex	PSMD8
PA700 complex	PSMD7
PA700 complex	PSMD4
PA700 complex	PSMC1
PA700 complex	PSMC5
PA700 complex	PSMC6
PA700 complex	PSMD2
PA700 complex	PSMD6
PA700 complex	PSMD5
PA700 complex	PSMD1
PA700 complex	PSMD13
