complex	gene_name
BCL6-HDAC4 complex	Bcl6
BCL6-HDAC4 complex	Hdac4
BCL6-HDAC5 complex	Bcl6
BCL6-HDAC5 complex	Hdac5
BCL6-HDAC7 complex	Bcl6
BCL6-HDAC7 complex	Hdac7
Multisubunit ACTR coactivator complex	Ep300
Multisubunit ACTR coactivator complex	Crebbp
Multisubunit ACTR coactivator complex	Kat2b
Multisubunit ACTR coactivator complex	Ncoa3
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Hps1
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Hps4
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Hps6
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Hps3
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Hps5
MUS81-CDS1 complex	Cds1
MUS81-CDS1 complex	Mus81
NCOR complex	Hdac3
NCOR complex	Tbl1x
NCOR complex	Ncor1
NCOR complex	Gps2
NCOR complex	Coro2a
NCOR complex	Tbl1xr1
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Snapin
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Bloc1s1
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Bloc1s3
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Bloc1s2
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Bloc1s5
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Dtnbp1
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Bloc1s4
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Bloc1s6
Bestrophin-protein phosphatase 2A complex	Ppp2r1a
Bestrophin-protein phosphatase 2A complex	Ppp2ca
Bestrophin-protein phosphatase 2A complex	Best1
Arp2/3 protein complex	Arpc1b
Arp2/3 protein complex	Arpc2
Arp2/3 protein complex	Arpc3
Arp2/3 protein complex	Arpc5
Arp2/3 protein complex	Arpc4
Arp2/3 protein complex	Actr3
Arp2/3 protein complex	Actr2
Modulator	Psmc6
Modulator	Psmd9
Modulator	Psmc3
PA28 complex	Psme1
PA28 complex	Psme2
PA700 complex	Psmd11
PA700 complex	Psmd12
PA700 complex	Psmd9
PA700 complex	Psmd14
PA700 complex	Psmd3
PA700 complex	Psmd10
PA700 complex	Psmc3
PA700 complex	Psmc2
PA700 complex	Psmc4
PA700 complex	Psmd8
PA700 complex	Psmd7
PA700 complex	Psmd4
PA700 complex	Psmc1
PA700 complex	Psmc5
PA700 complex	Psmc6
PA700 complex	Psmd2
PA700 complex	Psmd6
PA700 complex	Psmd5
PA700 complex	Psmd1
PA700 complex	Psmd13
AP1 adaptor complex	Ap1g1
AP1 adaptor complex	Ap1g2
AP1 adaptor complex	Ap1s2
AP1 adaptor complex	Ap1s1
AP1 adaptor complex	Ap1b1
AP1 adaptor complex	Ap1s3
AP1 adaptor complex	Ap1m1
AP1 adaptor complex	Ap1m2
Mi-2/NuRD-MTA3 complex	Mta2
Mi-2/NuRD-MTA3 complex	Mbd3
Mi-2/NuRD-MTA3 complex	Bcl6
Mi-2/NuRD-MTA3 complex	Hdac1
