source	target	source_gene	target_gene
A0A7M7KZT6	M9PB30	LOC551170	dpy
A0A7M7KXL5	D1YSG0	LOC409821	bt
A0A7M7MXR6	M9MRD1	LOC551356	Msp300
A0A7M7ML53	Q9I7U4	LOC551259	sls
A0A7M7GWS7	Q24498	LOC408680	RyR
A0A7M7L8C8	P37276	LOC725068	Dhc64C
A0A7M7L7T8	A0A0B4LH20	LOC725479	DHC3B
A0A7M7MUS1	A0A0B4KHJ4	LOC551562	Dhc93AB
A0A7M7L4V9	P33450	LOC410009	ft
A0A7M7MKD6	A1Z9J3	LOC408779	shot
A0A7M7MUP1	A8Y5B7	LOC724806	kl-3
A0A7M7MM09	E1JHA6	LOC412825	uif
A0A7M7MMM4	A8JTM7	LOC552358	mgl
A0A7M7R7Y0	A1Z8U0	551620	Prp8
A0A7M7GKC3	A8JNJ6	LOC413332	kst
A0A7M7SQH1	Q9VAV5	LOC411301	Dhc98D
A0A7M7IIB9	X2JA38	LOC410019	tweek
A0A7M7LN09	Q8I8U7	410502	Nipped-A
A0A7M7L5Q6	Q9VW71	LOC411157	kug
A0A7M7MUH7	Q5LJP0	LOC412775	kl-2
A0A7M7MVC5	Q9VML2	LOC551947	bchs
A0A7M7H1F1	Q9VLT5	LOC412281	poe
A0A7M7L674	Q9W4E2	LOC724172	rg
A0A7M7IGA1	P13395	551291	alpha-Spec
A0A7M7L0P4	Q9VR91	LOC411536	HERC2
A0A7M7MWP3	Q9VBJ2	LOC552370	Nf1
A0A7M7MQI3	Q7KVA7	LOC413097	Dhc62B
A0A7M7L2C0	Q9V3Z6	LOC726683	ck
A0A7M7R580	Q9VEZ3	LOC409359	msps
A0A7M7MMK6	Q94887	LOC551807	Nrx-IV
A0A7M7GMB2	Q9W391	LOC550706	CG7766
A0A7M7MM31	Q59DP9	LOC551261	PMCA
A0A7M7GNP3	Q9W332	LOC411053	Cubn
A0A7M7MSJ5	P25439	LOC551881	brm
A0A7M7GYB4	P05661	LOC409843	Mhc
A0A7M7IHB4	Q9VCU9	552127	Dcr-1
A0A7M7GUF5	Q9VGG5	LOC409212	Cad87A
A0A7M7GVL3	Q7KSE9	LOC412855	Dscam3
A0A7M7MQ91	X2JDH0	LOC410006	rad
A0A7M7L541	Q9W0T1	LOC412256	E(bx)
A0A7M7IF52	Q9VMR4	408777	nompC
A0A7M7GY82	Q99323	412092	zip
A0A7M7MUR9	P55162	LOC551945	Hem
A0A7M7GNQ1	Q9VWN9	LOC413399	CG7307
A0A7M7MTF6	Q9VR59	LOC725179	l(1)G0196
A0A7M7M151	Q9W2H8	LOC411488	Dmel\CG9485
A0A7M7MYU1	Q9W1B0	LOC412132	gek
A0A7M7GSA8	Q7KN85	550686	ATPCL
A0A7M7M0U7	A8DYE2	LOC412391	Trpm
A0A7M7MWU8	Q7KU24	LOC724599	Chd1
A0A7M7GLF0	Q9VF02	LOC725306	Hel89B
A0A7M7SS21	P28668	LOC725395	GluProRS
A0A7M7MQ39	P18091	LOC725782	Actn
A0A7M7GW69	Q9W247	725665	Dmel\CG4752
A0A7M7H042	A8JUY3	LOC725552	RpIIIC160
A0A7M7RAL5	P25167	552658	RpIII128
A0A7M7LPP6	A1ZBE8	412544	CG15099
A0A7M7IQM2	Q9VGD4	LOC413328	ATP8B
A0A7M7MSM5	Q32KD4	LOC552062	AGO1
