"complex","gene_name"
"putative PTS enzyme II FryBCA","fryC"
"putative PTS enzyme II FryBCA","fryB"
"putative PTS enzyme II FryBCA","fryA"
"lipoprotein release complex","lolE"
"lipoprotein release complex","lolD"
"lipoprotein release complex","lolC"
"RcsAB DNA-binding transcriptional dual regulator","rcsB"
"RcsAB DNA-binding transcriptional dual regulator","rcsA"
"Autoinducer-2 ABC transporter","lsrB"
"Autoinducer-2 ABC transporter","lsrD"
"Autoinducer-2 ABC transporter","lsrC"
"Autoinducer-2 ABC transporter","lsrA"
"intermembrane phospholipid transport system","mlaB"
"intermembrane phospholipid transport system","mlaD"
"intermembrane phospholipid transport system","mlaE"
"intermembrane phospholipid transport system","mlaF"
"degradosome","ppk"
"degradosome","rne"
"degradosome","rhlB"
"degradosome","pnp"
"degradosome","eno"
"lipopolysaccharide transport system - outer membrane assembly complex","lptD"
"lipopolysaccharide transport system - outer membrane assembly complex","lptE"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpC"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpA"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpE"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpB"
"cryptic phosphonate/phosphate ABC transporter","phnC"
"cryptic phosphonate/phosphate ABC transporter","phnE"
"cryptic phosphonate/phosphate ABC transporter","phnD"
"multidrug efflux pump EmrAB-TolC","tolC"
"multidrug efflux pump EmrAB-TolC","emrA"
"multidrug efflux pump EmrAB-TolC","emrB"
"selenate reductase","ynfE"
"selenate reductase","ynfF"
"selenate reductase","ynfG"
"selenate reductase","ynfH"
"DcuS-DctA sensor complex","dctA"
"DcuS-DctA sensor complex","dcuS"
"periplasmic nitrate reductase","napB"
"periplasmic nitrate reductase","napA"
"molybdate ABC transporter","modC"
"molybdate ABC transporter","modB"
"molybdate ABC transporter","modA"
"copper/silver export system","cusC"
"copper/silver export system","cusB"
"copper/silver export system","cusF"
"copper/silver export system","cusA"
"glycolate dehydrogenase","glcD"
"glycolate dehydrogenase","glcE"
"glycolate dehydrogenase","glcF"
"DNA polymerase III, &psi;-&chi; subunit","holC"
"DNA polymerase III, &psi;-&chi; subunit","holD"
"3-isopropylmalate dehydratase","leuC"
"3-isopropylmalate dehydratase","leuD"
"N-acetylmuramic acid-specific PTS enzyme II","murP"
