"complex","target"
"MUS81-CDS1 complex","MUS81"
"Arp2/3 protein complex","ARC35"
"Arp2/3 protein complex","ARC18"
"Arp2/3 protein complex","ARP2"
"Modulator","RPT4"
"Modulator","NAS2"
"Modulator","RPT5"
"PA700 complex","RPN6"
"PA700 complex","RPN5"
"PA700 complex","NAS2"
"PA700 complex","RPN3"
"PA700 complex","RPT5"
"PA700 complex","RPT1"
"PA700 complex","RPT3"
"PA700 complex","RPN12"
"PA700 complex","RPT2"
"PA700 complex","RPT6"
"PA700 complex","RPT4"
"PA700 complex","RPN1"
"PA700 complex","RPN7"
"PA700 complex","RPN2"
"PA700 complex","RPN9"
"DNMT3B complex","SMC2"
"DNMT3B complex","SMC4"
"SIN3 complex","MSI1"
"AP3 adaptor complex","APL5"
"Mi2/NuRD complex","MSI1"
"MeCP1 complex","MSI1"
"TRAP complex","RGR1"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","HRT1"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","SKP1"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","CDC53"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","HRT1"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","SKP1"
"NUMAC complex (nucleosomal methylation activator complex)","CEX1"
"Nup 107-160 subcomplex","SEC13"
"Nup 107-160 subcomplex","NUP84"
"Nup 107-160 subcomplex","NUP133"
"Nup 107-160 subcomplex","SEH1"
"Nup 107-160 subcomplex","NUP85"
"Anaphase-promoting complex","CDC27"
"Anaphase-promoting complex","CDC16"
"Anaphase-promoting complex","APC1"
"Anaphase-promoting complex","CDC23"
"Anaphase-promoting complex","APC5"
"Anaphase-promoting complex","APC2"
"Ku antigen-NARG1 complex","YKU70"
"Ku antigen-NARG1 complex","YKU80"
"Anaphase-promoting complex","DOC1"
"hNURF complex","MSI1"
"RNA polymerase II holoenzyme complex","RPB4"
"RNA polymerase II holoenzyme complex","TFG2"
"RNA polymerase II holoenzyme complex","RAD3"
"RNA polymerase II holoenzyme complex","RPB3"
"RNA polymerase II holoenzyme complex","RPB5"
"RNA polymerase II holoenzyme complex","SSL2"
"RNA polymerase II holoenzyme complex","TFA1"
"RNA polymerase II holoenzyme complex","TFA2"
"RNA polymerase II holoenzyme complex","RPB2"
"RNA polymerase II holoenzyme complex","TFB1"
"RNA polymerase II holoenzyme complex","TFG1"
"RNA polymerase II holoenzyme complex","RPB9"
"RNA polymerase II holoenzyme complex","RPB8"
"RNA polymerase II holoenzyme complex","RPC10"
"RNA polymerase II holoenzyme complex","RPO26"
"RNA polymerase II holoenzyme complex","RPB7"
"RNA polymerase II holoenzyme complex","RPB10"
"RNA polymerase II holoenzyme complex","SUA7"
"RNA polymerase II holoenzyme complex","TFB4"
"RNA polymerase II holoenzyme complex","TFB2"
"RNA polymerase II core complex","RPB4"
"RNA polymerase II core complex","RPB3"
"RNA polymerase II core complex","RPB5"
"RNA polymerase II core complex","RPB2"
"RNA polymerase II core complex","RPB9"
"RNA polymerase II core complex","RPB8"
"RNA polymerase II core complex","RPC10"
"RNA polymerase II core complex","RPO26"
"RNA polymerase II core complex","RPB7"
"RNA polymerase II core complex","RPB10"
"TFIIH transcription factor complex","RAD3"
"TFIIH transcription factor complex","SSL2"
"TFIIH transcription factor complex","TFB1"
"TFIIH transcription factor complex","KIN28"
"TFIIH transcription factor complex","CCL1"
"TFIIH transcription factor complex","TFB3"
"TFIIH transcription factor complex","TFB4"
"TFIIH transcription factor complex","TFB2"
"Prefoldin complex","YKE2"
"Prefoldin complex","PAC10"
"Prefoldin complex","GIM5"
"Prefoldin complex","GIM3"
"Prefoldin complex","GIM4"
"SNAPc (small nuclear RNA-activating protein) complex","BAS1"
"GPI-GnT activity complex","SPT14"
"GPI-GnT activity complex","GPI2"
"GPI-GnT activity complex","GPI1"
"Rnase/Mrp complex","POP4"
"Rnase/Mrp complex","RPP1"
"Rnase/Mrp complex","POP5"
"Rnase/Mrp complex","POP1"
"Rnase/Mrp complex","RPR2"
"CCT complex (chaperonin containing TCP1 complex)","TCP1"
"CCT complex (chaperonin containing TCP1 complex)","CCT5"
"CCT complex (chaperonin containing TCP1 complex)","CCT3"
"CCT complex (chaperonin containing TCP1 complex)","CCT8"
"CCT complex (chaperonin containing TCP1 complex)","CCT4"
"CCT complex (chaperonin containing TCP1 complex)","CCT2"
"CCT complex (chaperonin containing TCP1 complex)","CCT7"
"NDC80 kinetochore complex","NDC80"
"NDC80 kinetochore complex","NUF2"
"CCT-Prefoldin complex","YKE2"
"CCT-Prefoldin complex","PAC10"
"CCT-Prefoldin complex","CCT7"
"CCT-Prefoldin complex","CCT4"
"CCT-Prefoldin complex","TCP1"
"CCT-Prefoldin complex","CCT3"
"CCT-Prefoldin complex","CCT5"
"CCT-Prefoldin complex","CCT2"
"CCT-Prefoldin complex","CCT8"
"CCT-Prefoldin complex","GIM5"
"CCT-Prefoldin complex","GIM3"
"CCT-Prefoldin complex","GIM4"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT7"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT4"
"CCT complex (chaperonin containing TCP1 complex), testis specific","TCP1"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT3"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT5"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT2"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT8"
"TFIIE complex","TFA1"
"TFIIE complex","TFA2"
"TFIIF complex (transcription factor IIF)","TFG2"
"TFIIF complex (transcription factor IIF)","TFG1"
"Retrotranslocation complex","HRD1"
"Condensin I-PARP-1-XRCC1 complex","SMC2"
"Condensin I-PARP-1-XRCC1 complex","YCS4"
"Condensin I-PARP-1-XRCC1 complex","YCG1"
"Condensin I-PARP-1-XRCC1 complex","SMC4"
"Condensin II","SMC2"
"Condensin II","SMC4"
"COG complex","COG3"
"COG complex","COG8"
"COG complex","COG4"
"COG complex","COG6"
"Cohesin-SA1 complex","SMC3"
