"complex","target"
"MUS81-CDS1 complex","A0A3Q7F0C1"
"Bestrophin-protein phosphatase 2A complex","A0A3Q7GHE4"
"PA700 complex","A0A3Q7GAC5"
"PA700 complex","A0A3Q7HUN1"
"PA700 complex","A0A3Q7HYJ1"
"PA700 complex","A0A3Q7I1J2"
"PA700 complex","A0A3Q7IB14"
"DNMT3B complex","A0A3Q7FLD9"
"SIN3 complex","A0A3Q7GHU0"
"AP3 adaptor complex","A0A3Q7FSY4"
"TRAP complex","A0A3Q7F6U7"
"Nup 107-160 subcomplex","A0A3Q7JAH8"
"Nup 107-160 subcomplex","A0A3Q7HR18"
"CD28-transactivation complex","A0A3Q7FPR2"
"Anaphase-promoting complex","A0A3Q7J4N2"
"Anaphase-promoting complex","A0A3Q7GUQ3"
"Anaphase-promoting complex","A0A3Q7FQ14"
"Anaphase-promoting complex","A0A3Q7EGG5"
"Anaphase-promoting complex","A0A3Q7IKJ1"
"Anaphase-promoting complex","A0A3Q7GEH5"
"Ku antigen-NARG1 complex","A0A3Q7I954"
"Anaphase-promoting complex","A0A3Q7EYM7"
"RNA polymerase II holoenzyme complex","A0A3Q7HVT2"
"RNA polymerase II holoenzyme complex","A0A3Q7HJU4"
"RNA polymerase II holoenzyme complex","A0A3Q7H7H6"
"RNA polymerase II holoenzyme complex","A0A3Q7HUB7"
"RNA polymerase II holoenzyme complex","A0A3Q7FV57"
"RNA polymerase II holoenzyme complex","Q42877"
"RNA polymerase II holoenzyme complex","A0A3Q7GN86"
"RNA polymerase II holoenzyme complex","A0A3Q7IAV3"
"RNA polymerase II holoenzyme complex","A0A3Q7ITY2"
"RNA polymerase II holoenzyme complex","A0A3Q7H2G3"
"RNA polymerase II holoenzyme complex","A0A3Q7GY47"
"RNA polymerase II holoenzyme complex","A0A3Q7F4K2"
"RNA polymerase II core complex","A0A3Q7HVT2"
"RNA polymerase II core complex","A0A3Q7H7H6"
"RNA polymerase II core complex","Q42877"
"RNA polymerase II core complex","A0A3Q7GN86"
"RNA polymerase II core complex","A0A3Q7IAV3"
"RNA polymerase II core complex","A0A3Q7ITY2"
"RNA polymerase II core complex","A0A3Q7H2G3"
"TFIIH transcription factor complex","A0A3Q7HJU4"
"TFIIH transcription factor complex","A0A3Q7HUB7"
"TFIIH transcription factor complex","A0A3Q7G7G9"
"TFIIH transcription factor complex","A0A3Q7GY47"
"TFIIH transcription factor complex","A0A3Q7F4K2"
"Prefoldin complex","A0A3Q7HC31"
"Prefoldin complex","A0A3Q7ES75"
"Prefoldin complex","A0A3Q7EMC7"
"Prefoldin complex","A0A3Q7GSL9"
"SNAPc (small nuclear RNA-activating protein) complex","A0A3Q7ICN2"
"GPI-GnT activity complex","A0A3Q7EQ87"
"GPI-GnT activity complex","A0A3Q7FSV2"
"GPI-GnT activity complex","A0A3Q7G1C1"
"Rnase/Mrp complex","A0A3Q7HWB1"
"Rnase/Mrp complex","A0A3Q7GQ60"
"CCT complex (chaperonin containing TCP1 complex)","A0A3Q7GLM4"
"CCT complex (chaperonin containing TCP1 complex)","A0A3Q7FU69"
"CCT complex (chaperonin containing TCP1 complex)","A0A3Q7J033"
"CCT complex (chaperonin containing TCP1 complex)","A0A3Q7GYZ2"
"CD147-gamma-secretase complex","A0A3Q7ISI7"
"CD147-gamma-secretase complex","A0A3Q7GPD9"
"CCT-Prefoldin complex","A0A3Q7HC31"
"CCT-Prefoldin complex","A0A3Q7GYZ2"
"CCT-Prefoldin complex","A0A3Q7FU69"
"CCT-Prefoldin complex","A0A3Q7GLM4"
"CCT-Prefoldin complex","A0A3Q7J033"
"CCT-Prefoldin complex","A0A3Q7ES75"
"CCT-Prefoldin complex","A0A3Q7EMC7"
"CCT-Prefoldin complex","A0A3Q7GSL9"
"CCT complex (chaperonin containing TCP1 complex), testis specific","A0A3Q7GYZ2"
"CCT complex (chaperonin containing TCP1 complex), testis specific","A0A3Q7FU69"
"CCT complex (chaperonin containing TCP1 complex), testis specific","A0A3Q7GLM4"
"CCT complex (chaperonin containing TCP1 complex), testis specific","A0A3Q7J033"
"TFIIE complex","A0A3Q7FV57"
"Condensin I-PARP-1-XRCC1 complex","A0A3Q7FLD9"
"Condensin I-PARP-1-XRCC1 complex","A0A3Q7FS58"
"Condensin I-PARP-1-XRCC1 complex","A0A3Q7JF63"
"Condensin I-PARP-1-XRCC1 complex","A0A3Q7IR91"
"Condensin II","A0A3Q7FLD9"
"Condensin II","A0A3Q7JDQ6"
"Condensin II","A0A3Q7JFJ5"
"Condensin II","A0A3Q7FGK4"
"COG complex","K4BWM1"
"COG complex","A0A3Q7IE76"
"COG complex","A0A3Q7FWW8"
"COG complex","A0A3Q7EJ41"
"COG complex","A0A3Q7HGG2"
"COG complex","A0A3Q7J6E3"
"COG complex","A0A3Q7HT41"
"Cohesin-SA1 complex","A0A3Q7GZH8"
"Cohesin-SA2 complex","A0A3Q7GZH8"
"MRN complex (MRE11-RAD50-NBN complex)","A0A3Q7F7N9"
"MRN complex (MRE11-RAD50-NBN complex)","A0A3Q7HGI7"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7H403"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7FPV4"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7J836"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7EDQ2"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7FZJ2"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7JJ90"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7F8L3"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7HI43"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7I365"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7I832"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A3Q7ETU1"
"26S proteasome","A0A3Q7GA27"
"26S proteasome","A0A3Q7F6F6"
"26S proteasome","A0A3Q7IZW2"
"26S proteasome","A0A3Q7FYL2"
"26S proteasome","A0A3Q7I6A1"
"26S proteasome","A0A3Q7J3Q6"
"26S proteasome","A0A3Q7HYJ1"
"Wave-2 complex","A0A3Q7FGE8"
"Mitotic checkpoint complex (MCC)","A0A3Q7ES41"
"Mitotic checkpoint complex (MCC)","A0A3Q7GGR3"
"20S proteasome","A0A3Q7GA27"
"20S proteasome","A0A3Q7F6F6"
"20S proteasome","A0A3Q7IZW2"
"20S proteasome","A0A3Q7FYL2"
"20S proteasome","A0A3Q7I6A1"
"20S proteasome","A0A3Q7J3Q6"
"PA28-20S proteasome","A0A3Q7GA27"
"PA28-20S proteasome","A0A3Q7F6F6"
"PA28-20S proteasome","A0A3Q7IZW2"
"PA28-20S proteasome","A0A3Q7FYL2"
"PA28-20S proteasome","A0A3Q7I6A1"
"PA28-20S proteasome","A0A3Q7J3Q6"
"PA700-20S-PA28 complex","A0A3Q7GAC5"
"PA700-20S-PA28 complex","A0A3Q7GA27"
"PA700-20S-PA28 complex","A0A3Q7F6F6"
"PA700-20S-PA28 complex","A0A3Q7IZW2"
"PA700-20S-PA28 complex","A0A3Q7HUN1"
"PA700-20S-PA28 complex","A0A3Q7FYL2"
"PA700-20S-PA28 complex","A0A3Q7I6A1"
"PA700-20S-PA28 complex","A0A3Q7J3Q6"
"PA700-20S-PA28 complex","A0A3Q7HYJ1"
"PA700-20S-PA28 complex","A0A3Q7I1J2"
"PA700-20S-PA28 complex","A0A3Q7IB14"
"PA28gamma-20S proteasome","A0A3Q7GA27"
"PA28gamma-20S proteasome","A0A3Q7F6F6"
"PA28gamma-20S proteasome","A0A3Q7IZW2"
"PA28gamma-20S proteasome","A0A3Q7FYL2"
"PA28gamma-20S proteasome","A0A3Q7I6A1"
"PA28gamma-20S proteasome","A0A3Q7J3Q6"
"DNA ligase IV-XRCC1 complex","A0A3Q7I2L6"
"SMCC complex","A0A3Q7F6U7"
"SMCC complex","A0A3Q7H1M0"
"SMCC complex","A0A3Q7F5P7"
"NAT complex","A0A3Q7F6U7"
"NAT complex","A0A3Q7H1M0"
"NAT complex","A0A3Q7F5P7"
"NAT complex","A0A3Q7IJE3"
"NAT complex","A0A3Q7HAQ8"
"Mediator complex","A0A3Q7GAJ8"
