"protein_A","protein_B"
"ABP1","HUA2"
"ABZ2","ATG34"
"ACM1","BMH2"
"ACM1","RDS1"
"ACP1","UBP2"
"ACS1","ADR1"
"ACT1","ACT1"
"ACT1","AIP1"
"ACT1","BIL1"
"ACT1","GCD7"
"ACT1","SMT3"
"ACT1","SRP1"
"ACT1","SRV2"
"ADA2","APL6"
"ADA2","BIT61"
"ADA2","BTN2"
"ADA2","HSP42"
"ADA2","ISU1"
"ADA2","MRP4"
"ADA2","MRX12"
"ADA2","PRE5"
"ADA2","PRP45"
"ADA2","RBG1"
"ADA2","RPC11"
"ADA2","RPC17"
"ADA2","SKI6"
"ADA2","SPC25"
"ADA2","SPP382"
"ADA2","TFB2"
"ADA2","TRX3"
"ADA2","VPS4"
"ADA2","VPS71"
"ADE13","ADE13"
"ADE4","ADE4"
"ADE6","VAC14"
"ADH7","ADH7"
"ADY3","APE1"
"ADY3","ATG17"
"ADY3","BIL1"
"ADY3","CHA4"
"ADY3","DAL80"
"ADY3","DIG1"
"ADY3","MUK1"
"ADY3","PEX14"
"ADY3","RDR1"
"ADY3","URC2"
"ADY3","URK1"
"ADY4","BDF2"
"ADY4","HUA2"
"ADY4","MSS4"
"AFG2","EHD3"
"AFG2","YCH1"
"AFG3","GET3"
"AFI1","CNM67"
"AFR1","ATG17"
"AFT1","IML3"
"AFT1","ZPR1"
"AHA1","HSC82"
"AHA1","HSP82"
"AHK1","SHO1"
"AIM2","APP1"
"AIM21","TDA2"
"AIM3","RVS161"
"AIM4","MOT3"
"AIM4","URN1"
"AIM7","ARC40"
"AIM7","DAL80"
"AIR1","ATG17"
"AIR1","NAB2"
"AIR1","PBP2"
"ALD2","ALD2"
"ALG12","GTT1"
"ALG12","MGA2"
"ALG2","PEX29"
"ALG7","GTT1"
"ALG9","GTT1"
"ALG9","MGA2"
"ALG9","SEC62"
"ALG9","UIP3"
"ALG9","USA1"
"ALR1","SEC24"
"ALT1","ATG11"
"ALT1","ATG17"
"AMD1","AMD1"
"AMD1","MUK1"
"AMD2","AMD2"
"AMS1","APE1"
"AMS1","ATG34"
"ANB1","DYS1"
"APE1","APE1"
"APE1","APE4"
"APE1","APL3"
"APE1","ATG11"
"APE1","CTR9"
"APE1","GCD7"
"APE1","IDH2"
"APE1","MXR2"
"APE1","SEC24"
"APE1","SWC7"
"APE1","TRS130"
"APE1","YAF9"
"APE2","MRP8"
"APE4","APE4"
"APE4","ATG19"
"APE4","EUG1"
"APE4","GCD7"
"APE4","GIM3"
"APE4","IML3"
"APE4","IRC25"
"APE4","MAD2"
"APE4","PSE1"
"APE4","SMX2"
"APE4","SRP1"
"APE4","SSU72"
"APE4","TAE1"
"APE4","TAF14"
"APE4","YIG1"
"APL2","APM1"
"APL2","GAL80"
"APL3","APS2"
"APL3","IRC6"
"APL6","ATG17"
"APL6","GCR2"
