"protein_A","protein_B"
"AAR2","PRP8"
"ABF2","HTA2"
"ACO1","HSP42"
"ACO1","MYO4"
"ACS2","TKL1"
"ADA2","NGG1"
"ADA2","SPT20"
"ADA2","TAF6"
"ADA2","UBP8"
"ADE12","TUF1"
"ADE16","ADE17"
"ADE3","RPP0"
"ADE3","RPP2A"
"ADH1","ENO1"
"ADH1","ILV1"
"ADH1","RMD8"
"ADH1","RNR1"
"ADH1","YNR014W"
"AIR1","MTR4"
"AIR2","MTR4"
"ALD2","ALD3"
"ALD4","KAP104"
"AMD1","YJL070C"
"AME1","CTF19"
"AME1","OKP1"
"AOR1","ARP4"
"AOR1","BDF1"
"AOR1","GOD1"
"AOR1","RVB1"
"AOR1","RVB2"
"AOR1","SWR1"
"AOR1","VPS72"
"AOR1","YAF9"
"AOR1","YLR385C"
"AOS1","UBA2"
"APC1","DOC1"
"APC2","DOC1"
"APC4","DOC1"
"APG17","CIS1"
"APG17","CVT9"
"APG17","YPL166W"
"APG2","AUT10"
"APL1","YJL084C"
"APL2","APL4"
"APL2","APM1"
"APL2","APM2"
"APL2","YFL034W"
"APL3","YJL084C"
"APL4","APM1"
"APL4","APM2"
"APL4","NSR1"
"APL5","APL6"
"APL5","APS3"
"APL5","PUS1"
"APL6","APM3"
"APL6","APS3"
"APL6","CRN1"
"APP2","GYP5"
"APP2","RVS167"
"ARC1","HEK2"
"ARC1","MES1"
"ARC15","ARC40"
"ARC18","ARC40"
"ARC19","ARC40"
"ARC35","ARC40"
"ARC40","ARP2"
"ARC40","ARP3"
"ARC40","YMR265C"
"ARD1","NAT1"
"ARD1","NAT5"
"ARO2","TID3"
"ARP4","ARP5"
"ARP4","ARP8"
"ARP4","BDF1"
"ARP4","EAF6"
"ARP4","EPL1"
"ARP4","ESA1"
"ARP4","GOD1"
"ARP4","IES1"
"ARP4","IES3"
"ARP4","IES4"
"ARP4","IES5"
"ARP4","INO80"
"ARP4","NHP10"
"ARP4","RVB1"
"ARP4","RVB2"
"ARP4","SWC1"
"ARP4","SWR1"
"ARP4","VID21"
"ARP4","VPS71"
"ARP4","YAF9"
"ARP4","YLR385C"
"ARP4","YNG2"
"ARP4","YNL136W"
"ARP5","RVB1"
