"protein_A","protein_B"
"AAT2","ADE16"
"AAT2","CDC11"
"AAT2","GDH2"
"AAT2","INO1"
"AAT2","LSP1"
"AAT2","PEX11"
"AAT2","URA7"
"ABF2","MLH1"
"ABM1","COG2"
"ABM1","ERR1"
"ABM1","YBR255C-A"
"ABM1","YBR296C-A"
"ACB1","ADE17"
"ACB1","ALO1"
"ACB1","ARC40"
"ACB1","HUG1"
"ACB1","SEC26"
"ACB1","SEC27"
"ACB1","VMA7"
"ACB1","VMA8"
"ACF2","EHT1"
"ACF2","ERG11"
"ACF2","ERG27"
"ACF2","ERG7"
"ACF2","FAT1"
"ACF2","SEL1"
"ACF2","SLC1"
"ACF2","SNA3"
"ACF2","TGL1"
"ACF2","TGL4"
"ACS1","YAT1"
"ADE16","ADE16"
"ADE16","ADE17"
"ADE16","LSP1"
"ADE16","REG1"
"ADE16","SSL2"
"ADE16","VMA8"
"ADE17","ADE17"
"ADE17","ALO1"
"ADE17","CAF20"
"ADE17","DCS1"
"ADE17","DEF1"
"ADE17","EFT1"
"ADE17","GIS2"
"ADE17","GSY2"
"ADE17","HCH1"
"ADE17","HUG1"
"ADE17","HYR1"
"ADE17","INO1"
"ADE17","PGM2"
"ADE17","PHO13"
"ADE17","PST2"
"ADE17","SAP155"
"ADE17","SEC27"
"ADE17","SEM1"
"ADE17","SKI8"
"ADE17","SNC2"
"ADE17","SOL1"
"ADE17","VMA8"
"ADE17","YNL247W"
"ADE4","ADE4"
"ADE4","ALG7"
"ADE4","ALO1"
"ADH4","ARF3"
"ADH4","ERJ5"
"ADH4","SWI6"
"ADK1","INO1"
"ADK2","DUO1"
"AFG2","AFG2"
"AGE2","CHC1"
"AGP2","PMC1"
"AGP2","RFS1"
"AKR1","AKR1"
"AKR1","ARF1"
"AKR1","ATG27"
"AKR1","AUR1"
"AKR1","BSC6"
"AKR1","COG3"
"AKR1","CTR2"
"AKR1","DOS2"
"AKR1","GEF1"
"AKR1","GOT1"
"AKR1","KEX1"
"AKR1","NEO1"
"AKR1","PIN2"
"AKR1","RBD2"
"AKR1","RET2"
"AKR1","SFT2"
"AKR1","TVP15"
"AKR1","TVP38"
"AKR1","YBR241C"
"AKR1","YCK1"
"AKR1","YCR043C"
"AKR1","YDR034W-B"
"AKR1","YMR010W"
"ALG12","KAR2"
"ALG14","CAX4"
"ALG5","ERG25"
"ALG5","ERP1"
"ALG5","ERV25"
"ALG5","GPT2"
"ALG5","IPI3"
"ALG5","LAC1"
"ALG5","RSC58"
"ALG5","SCS7"
"ALG5","SWP1"
"ALG5","YDC1"
"ALG7","RPB2"
"ALG7","SDS24"
"ALO1","ALO1"
"ALO1","ARF1"
"ALO1","CWP2"
"ALO1","DNM1"
"ALO1","EHT1"
"ALO1","FAA3"
"ALO1","FUN14"
"ALO1","GRE3"
"ALO1","GTT1"
"ALO1","HUG1"
"ALO1","HYR1"
"ALO1","IML2"
"ALO1","INO1"
"ALO1","KES1"
"ALO1","LSP1"
"ALO1","MCR1"
"ALO1","MSP1"
"ALO1","PCK1"
"ALO1","PGM2"
"ALO1","QCR9"
"ALO1","SAM35"
"ALO1","SEC4"
"ALO1","SIS1"
"ALO1","SNC2"
"ALO1","SSL2"
"ALO1","TOM20"
"ALO1","TOM70"
"ALO1","UIP4"
"ALO1","YBL039W-A"
"ALO1","YDR381C-A"
"ALO1","YGR012W"
"ALO1","YHR003C"
"ALO1","YPT1"
"ALO1","YPT31"
"ALO1","YPT32"
"AMD1","AMD1"
"ANT1","PEX11"
"APC11","DCC1"
"APC11","SMY1"
"APL2","APL4"
"APL2","APM1"
"APL2","INP53"
"APL4","APL4"
"APL4","APS1"
"APL4","CHC1"
"APL4","ENT3"
"APL4","GGA2"
"APL4","INP53"
"APL4","YJL207C"
"APL5","APL6"
"APL5","APM3"
"APL6","APL6"
"APL6","CHS5"
"APM3","APM3"
"ARB1","PLM2"
"ARC15","BBC1"
"ARC15","CAP2"
"ARC15","LAS17"
"ARC15","MYO5"
"ARC15","SAC6"
"ARC15","SLA2"
"ARC15","SRV2"
"ARC15","VRP1"
"ARC18","ARC18"
"ARC18","ARC19"
"ARC18","ARC35"
"ARC18","ARC40"
"ARC18","ARP2"
"ARC18","CHC1"
"ARC18","HUG1"
"ARC18","LAS17"
"ARC18","MYO5"
"ARC18","SEC27"
"ARC18","SLA2"
"ARC18","SRV2"
"ARC18","VRP1"
"ARC19","ARC35"
"ARC19","ARC40"
"ARC19","HUG1"
"ARC19","LAS17"
"ARC19","MYO5"
"ARC19","SLA2"
"ARC19","SRV2"
"ARC19","VRP1"
"ARC35","ARC40"
"ARC35","ARP2"
"ARC35","CAP2"
"ARC35","LAS17"
"ARC35","LSP1"
"ARC35","PGM2"
"ARC35","SLA2"
"ARC35","SRV2"
"ARC35","VRP1"
"ARC40","ARK1"
"ARC40","ARP2"
"ARC40","BBC1"
"ARC40","CAP2"
"ARC40","INP52"
"ARC40","LAS17"
"ARC40","LSP1"
"ARC40","MYO5"
"ARC40","PGM2"
"ARC40","PRK1"
"ARC40","RVS161"
"ARC40","RVS167"
"ARC40","SAC6"
"ARC40","SLA1"
"ARC40","SLA2"
"ARC40","SNC2"
"ARC40","SRV2"
"ARC40","SSL2"
"ARC40","TRP2"
"ARC40","TRP4"
"ARC40","VRP1"
"ARF1","ARF1"
"ARF1","ARF2"
"ARF1","ATG27"
"ARF1","BAP2"
"ARF1","BSC6"
"ARF1","CPR8"
"ARF1","EMP47"
"ARF1","EMP70"
"ARF1","EPT1"
"ARF1","ERP1"
"ARF1","ERV25"
"ARF1","ERV29"
"ARF1","GOT1"
"ARF1","HXT1"
"ARF1","KEX1"
"ARF1","LEM3"
"ARF1","PEX11"
"ARF1","QDR2"
"ARF1","RBD2"
"ARF1","RET2"
"ARF1","RET3"
"ARF1","SFT2"
"ARF1","SNA3"
"ARF1","SWP1"
"ARF1","TPO3"
"ARF1","TVP15"
"ARF1","VPS68"
"ARF1","YBL029C-A"
"ARF1","YBR241C"
"ARF1","YMR010W"
"ARF1","YPT1"
"ARF2","TVP15"
"ARF3","FMP45"
"ARF3","PEX11"
"ARF3","RSC4"
"ARF3","SFK1"
"ARF3","TPD3"
"ARG81","AUA1"
"ARL1","DOP1"
"ARO10","CAP2"
"ARO10","KRE27"
"ARO80","MTD1"
"ARP2","INO1"
"ARP2","LAS17"
"ARP2","MYO5"
"ARP2","PGM2"
"ARP2","VRP1"
"ARP2","YDR063W"
"ARV1","ERR1"
"ARX1","REI1"
"ASF1","HHF1"
"ASF1","HHT2"
"ASF2","MKC7"
"ASF2","SUT1"
"ASF2","YCL056C"
"ASM4","NDC1"
"ASP1","ASP1"
"ASP3-4","MSH4"
"ATG18","VAC14"
"ATG18","VAC17"
"ATG20","PEP1"
"ATG20","SNX4"
"ATG20","TVP15"
"ATG27","ATG27"
"ATG27","COT1"
"ATG27","CTR2"
"ATG27","EMP47"
"ATG27","FTH1"
"ATG27","PEP1"
"ATG27","PMC1"
"ATG27","RBD2"
"ATG27","SFT2"
"ATG27","SNX3"
"ATG27","TMS1"
"ATG27","TVP15"
"ATG27","VPS16"
"ATG27","VPS17"
"ATG27","VPS5"
"ATG27","VPS68"
"ATG27","YDR119W"
"ATG27","YML018C"
"ATG27","YMR221C"
"ATS1","TRP4"
"ATX1","PRO3"
"ATX1","PSA1"
"AUR1","CPR8"
"AUR1","DOS2"
"AUR1","KEX1"
"AUR1","RBD2"
"AUR1","RET2"
"AUR1","SEC26"
"AUR1","SEC27"
"AUR1","YMR010W"
"AYR1","EHT1"
"AYR1","ERP1"
"AYR1","FAT1"
"AYR1","PIS1"
"AYR1","SLC1"
"AYR1","SNA3"
"AYR1","SWP1"
"AYR1","TGL1"
"AYT1","ERG5"
"BAP2","DIP5"
"BAP2","ERV25"
"BAP2","HXT1"
"BAP2","RBD2"
"BAP2","RET3"
"BAP2","SHR3"
"BAP2","SOP4"
"BBC1","BBC1"
"BBC1","MID2"
"BBC1","MYO5"
"BBC1","YIR003W"
"BCY1","BCY1"
"BCY1","MSN4"
"BCY1","PRP43"
"BCY1","RNT1"
"BCY1","SOK2"
"BCY1","TIP41"
"BCY1","TPK1"
"BCY1","TPK2"
"BEM1","BEM1"
"BEM1","BOI1"
"BEM1","CDC24"
